SID,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
6,19,2,1,1,1,630.44,nonwex2_10.png
6,20,2,4,2,1,579.67,nonwin2_9.png
6,21,1,4,2,1,688.94,nonwex2_12.png
6,22,1,4,2,1,566.25,nonwex2.png
6,23,2,1,1,1,571.51,nonwin5.png
6,24,1,2,2,1,472.84,nonwin9.png
6,25,1,4,2,1,670.04,nonwin2_7.png
6,26,2,4,2,1,667.37,nonwex6.png
6,27,1,2,2,1,688.62,nonwin6.png
6,28,1,3,1,1,341.92,nonwin2_11.png
6,29,1,3,1,1,859.18,nonwex2_3.png
6,30,2,3,1,1,584.41,nonwin12.png
6,31,1,1,1,1,829.5,nonwin4.png
6,32,2,4,2,1,546.97,nonwin3.png
6,33,2,2,2,1,552.23,nonwex11.png
6,34,1,1,1,1,581.53,nonwex3.png
6,35,1,1,1,1,770.78,nonwex2_11.png
6,36,1,4,2,1,808.05,nonwin1.png
6,37,2,2,2,1,1333.41,nonwex2_2.png
6,38,2,3,1,1,690.33,nonwin2_3.png
6,39,1,3,1,1,679.97,nonwex8.png
6,40,1,4,2,1,581.17,nonwex9.png
6,41,2,3,1,1,898.51,nonwex1.png
6,42,2,2,2,1,535.79,nonwin10.png
6,43,2,3,1,1,700.99,nonwin2_5.png
6,44,2,3,1,1,554.24,nonwex2_6.png
6,45,2,1,1,1,623.58,nonwin8.png
6,46,1,3,1,1,532.59,nonwin2.png
6,47,2,1,1,1,1130.07,nonwex2_7.png
6,48,2,4,2,1,599.16,nonwex2_4.png
7,1,2,4,1,1,977.18,nonwex3.png
7,2,1,1,1,1,773.39,nonwex12.png
7,3,2,3,1,1,1177.66,nonwex10.png
7,4,1,2,1,1,1301.87,nonwin12.png
7,5,1,1,2,1,850.16,nonwex11.png
7,6,2,1,2,1,1414.36,nonwin2.png
7,7,1,3,1,1,1322.63,nonwin2_2.png
7,8,2,1,1,1,1022.84,nonwex2_8.png
7,9,1,3,1,1,1019.08,nonwin8.png
7,10,1,3,2,1,1095.41,nonwin2_8.png
7,11,2,3,1,1,822.3,nonwex2_5.png
7,12,1,1,1,1,834.5,nonwin2_3.png
7,13,2,4,1,1,1438.55,nonwex9.png
7,14,1,4,1,1,954.99,nonwex2_10.png
7,15,1,4,2,1,999.27,nonwex2_7.png
7,16,2,4,2,1,1587.57,nonwin6.png
7,17,2,2,1,1,1471.77,nonwin1.png
7,18,1,4,2,1,964.08,nonwex2_6.png
7,19,2,3,2,1,1120.24,nonwex2_12.png
7,20,2,2,2,1,1468.6,nonwex2_3.png
7,21,2,2,1,1,1096.81,nonwex8.png
7,22,1,2,1,1,997.06,nonwex1.png
7,23,2,2,2,1,1313.27,nonwex2.png
7,24,2,3,1,1,941.52,nonwex5.png
7,25,1,3,1,1,921.83,nonwin2_5.png
7,26,1,4,1,1,1070.01,nonwin3.png
7,27,1,2,1,1,1442.29,nonwin2_9.png
7,28,2,2,1,1,1550.36,nonwin2_12.png
7,29,1,2,1,1,1442.84,nonwex2_4.png
7,30,1,4,2,1,1191.07,nonwin2_4.png
7,31,1,1,1,1,989.91,nonwex4.png
7,32,1,2,2,1,1034.24,nonwex6.png
7,33,2,3,1,1,1678.43,nonwex2_11.png
7,34,1,3,1,1,1826.72,nonwin10.png
7,35,1,1,2,1,1550.96,nonwin7.png
7,36,1,1,2,1,1355.2,nonwin2_10.png
7,37,2,4,1,1,1471.42,nonwin2_11.png
7,38,2,1,1,1,1387.69,nonwin4.png
7,39,1,3,1,1,1183.98,nonwin5.png
7,40,2,3,1,1,1894.95,nonwin2_7.png
7,41,2,4,2,1,1907.1,nonwex2_1.png
7,42,2,1,1,1,1263.37,nonwex2_9.png
7,43,2,1,1,1,1187.48,nonwex7.png
7,44,1,4,1,1,1175.94,nonwex2_2.png
7,45,2,2,2,1,2020.21,nonwin9.png
7,46,1,2,1,1,2392.41,nonwin2_1.png
7,47,2,1,1,1,1900.61,nonwin2_6.png
7,48,2,4,1,1,1456.85,nonwin11.png
8,1,2,4,1,1,976.44,nonwin2_2.png
8,2,1,2,1,1,1036.74,nonwin2_3.png
8,3,1,1,2,1,1065.01,nonwin2_9.png
8,4,2,4,1,1,1213.29,nonwex2_9.png
8,5,2,1,1,1,1377.48,nonwex2_7.png
8,6,1,2,1,1,1181.71,nonwin10.png
8,7,1,4,2,1,1209.99,nonwex2_12.png
8,8,2,2,1,1,1054.1,nonwin12.png
8,9,2,4,1,1,986.54,nonwin2.png
8,10,2,2,1,1,1126.85,nonwin2_8.png
8,11,1,3,1,1,1259.12,nonwin2_10.png
8,12,2,4,1,1,1423.35,nonwex2.png
8,13,1,2,1,1,963.63,nonwex12.png
8,14,1,1,1,1,847.83,nonwex2_3.png
8,15,1,4,1,1,1036.13,nonwin2_6.png
8,16,1,3,2,1,856.37,nonwin5.png
8,17,2,1,2,1,1108.6,nonwin2_4.png
8,18,2,3,2,1,1192.87,nonwin2_7.png
8,19,1,4,2,1,1021.21,nonwex1.png
